license_type,term,description,sinonimi,license_id,license_uri,weight
Public Domain,Creative Commons CC0 1.0 Universal - Public Domain Dedication (CC0 1.0),,"Creative Commons CCZero
CC-0 Comune Anzola
CC-0 1.0
CC-0 Comune Modena
CC0-1.0
CC-0-RER
Other (Public Domain)
Creative Commons CCZero Public Domain",CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,-20
Public Domain,ODC Public Domain Dedication and Licence (PDDL),,,PDDL,http://opendatacommons.org/licenses/pddl/1.0/,-19
Attribution,Creative Commons Attribution 4.0 International (CC-BY 4.0),,"CC-BY 4.0
Creative Commons Attribution
Creative Commons Attribuzione
Creative Commons Attribution 4.0 (CC BY 4.0)
CC-BY Comune Modena
CC-BY-GEO-RER
Creative Commons Attribution 4.0
IBC-BibConsMus-CCBY
CC-BY-RER
CC-BY-ANAGRAFICHE-IT-ENG
CC-BY-RICOSTRUZIONE-RER
Open Data Commons Attribution License
CC-BY-EVENTI-CULTURA-RER
IBC-Musei-CCBY
CC-BY-SOL-PA-RER
IBC-Alberi-CCBY
CC-BY-25-RER-SISEPS
IBC-Stemmi-CCBY
CC-BY-ELENCOMERITO-RER
Other (Attribution)
CC-BY-SOL-UNI-RER
CC-BY-WIFI-RER
CC-BY-TWITTER-RER
CC-BY-YOUTUBE-RER
IBC-Castelli-CCBY
IBC-Biblioteche-CCBY
CC-BY-WIFI-BIBLIO-RER
IBC-Conservatori-CCBY
CC-BY-FACEBOOK-RER
IBC-Farfalle-CCBY
CC-BY-ODF-RER",CC-BY 4.0,http://creativecommons.org/licenses/by/4.0/,-18
Attribution,Creative Commons Attribuzione 3.0 Italia (CC-BY 3.0 IT),,"CC-BY 3.0
CC-BY 3.0 IT
http://creativecommons.org/licenses/by/3.0/legalcode",CC-BY 3.0 IT,http://creativecommons.org/licenses/by/3.0/it/,-17
Attribution,Cretive Commons Attribuzione 2.5 Italia (CC-BY 2.5 IT),,,CC-BY 2.5 IT,http://creativecommons.org/licenses/by/2.5/it/,-16
Attribution,Creative Commons Attribuzione 2.0 Italia (CC-BY 2.0 IT),,"Creative Commons Attribution - CC-BY
CC-BY 2.0 IT",CC-BY 2.0 IT,http://creativecommons.org/licenses/by/2.0/it/,-15
Attribution,Creative Commons Attribution 1.0 Generic (CC-BY 1.0),,,CC-BY 1.0,http://creativecommons.org/licenses/by/1.0/,-14
Attribution,Italian Open Data License 2.0,,"Italian Open Data License 2.0
http://www.dati.gov.it/iodl/2.0/
Italian Open Data License v2.0
Italian Open Data License (IODL)
IODL 2.0
License IODL v2.0",IODL 2.0,http://www.dati.gov.it/iodl/2.0/,-13
Effect viral (alias share-alike),Creative Commons Attribution - ShareAlike 4.0 International (CC-BY-SA 4.0),,"Creative Commons Attribution Share-Alike
Creative Commons Attribuzione - Condividi allo stesso modo
CC-BY-SA 4.0",CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,-12
Effect viral (alias share-alike),Creative Commons Attribuzione - Condividi allo stesso modo 3.0 Italia (CC-BY-SA 3.0 IT),,"Creative Commons Attribution Share-Alike - CC-BY-SA
CC-BY-SA 3.0 IT",CC-BY-SA 3.0 IT,https://creativecommons.org/licenses/by-sa/3.0/it/,-11
Effect viral (alias share-alike),Creative Commons Attribuzione - Condividi allo stesso modo 2.5 Italia (CC-BY-SA 2.5 IT),,,CC-BY-SA 2.5 IT,http://creativecommons.org/licenses/by-sa/2.5/it/,-10
Effect viral (alias share-alike),Creative Commons Attribuzione - Condividi allo stesso modo 2.0 Italia (CC-BY-SA 2.0 IT),,,CC-BY-SA 2.0 IT,http://creativecommons.org/licenses/by-sa/2.0/it/,-9
Effect viral (alias share-alike),Craetive Commons Attribution - ShareAlike 1.0 Generic (CC-BY-SA 1.0),,,CC-BY-SA 1.0,http://creativecommons.org/licenses/by-sa/1.0/,-8
Effect viral (alias share-alike),Italian Open Data License 1.0,,"IODL-1.0
Italian Open Data License v1.0",IODL 1.0,http://www.formez.it/iodl/,-7
Non commercial use only,Creative Commons Attribution - NonCommercial 4.0 International (CC-BY-NC 4.0),,"Creative Commons Non-Commercial (Any)
Creative Commons Non Commerciale (Qualsiasi tipo)
CC-BY-NC 4.0",CC-BY-NC 4.0,http://creativecommons.org/licenses/by-nc/4.0/,-6
Non commercial use only,Creative Commons Attribuzione - Non Commerciale 3.0 Italia (CC-BY-NC 3.0 IT),,,CC-BY-NC 3.0 IT,http://creativecommons.org/licenses/by-nc/3.0/it/,-5
Non commercial use only,Cretive Commons Attribuzione - Non Commerciale 2.5 Italia (CC-BY-NC 2.5 IT),,,CC-BY-NC 2.5 IT,http://creativecommons.org/licenses/by-nc/2.5/it,-4
Non commercial use only,Creative Commons Attribuzione - Non Commerciale 2.0 Italia (CC-BY-NC 2.0 IT),,,CC-BY-NC 2.0 IT,http://creativecommons.org/licenses/by-nc/2.0/it/,-3
Non commercial use only,Creative Commons Attribution - Non Commercial 1.0 Generic (CC-BY-NC 1.0),,,CC-BY-NC 1.0,http://creativecommons.org/licenses/by-nc/1.0/,-2
Non commercial use only,Creative Commons Attribution - NonCommercial - ShareAlike 4.0 International (CC-BY-NC-SA 4.0),,"Creative Commons Attribuzione - Condividi allo stesso modo - Non commerciale
CC-BY-NC-SA 4.0",CC-BY-NC-SA 4.0,http://creativecommons.org/licenses/by-nc-sa/4.0/,-1
Non commercial use only,Creative Commons Attribuzione - Non Commerciale - Condivisione allo stesso modo 3.0 Italia (CC-BY-NC-SA 3.0),,,CC-BY-NC-SA 3.0,http://creativecommons.org/licenses/by-nc-sa/3.0/it/,0
Non commercial use only,Creative Commons Attribuzione - Non Commerciale - Condivisione allo stesso modo 2.5 Italia (CC-BY-NC-SA 2.5),,,CC-BY-NC-SA 2.5,http://creativecommons.org/licenses/by-nc-sa/2.5/it,1
Non commercial use only,Creative Commons Attribuzione - Non Commerciale - Condivisione allo stesso modo 2.0 Italia (CC-BY-NC-SA 2.0),,,CC-BY-NC-SA 2.0,http://creativecommons.org/licenses/by-nc-sa/2.0/it/,2
Non commercial use only,Creative Commons Attribution - NonCommercial - ShareAlike 1.0 Generic (CC-BY-NC-SA 1.0),,,CC-BY-NC-SA 1.0,http://creativecommons.org/licenses/by-nc-sa/1.0/,3
No Derivatives Work,Creative Commons Attribution - NoDerivatives 4.0 International (CC-BY-ND 4.0),,,CC-BY-ND 4.0,http://creativecommons.org/licenses/by-nd/4.0/,4
No Derivatives Work,Creative Commons Attribuzione - Non opere derivate 3.0 Italia (CC-BY-ND 3.0 IT),,,CC-BY-ND 3.0 IT,http://creativecommons.org/licenses/by-nd/3.0/it/,5
No Derivatives Work,Creative Commons Attribution - Non opere derivate 2.5 Italia (CC-BY-ND 2.5 IT),,,CC-BY-ND 2.5 IT,http://creativecommons.org/licenses/by-nd/2.5/it/,6
No Derivatives Work,Creative Commons Attribution - Non opere derivate 2.0 italia (CC-BY-ND 2.0 IT),,,CC-BY-ND 2.0 IT,http://creativecommons.org/licenses/by-nd/2.0/it/,7
No Derivatives Work,Creative Commons Attribution - NonDerivs 1.0 Generic (CC-BY-ND 1.0),,,CC-BY-ND 1.0,http://creativecommons.org/licenses/by-nd/1.0/,8
No Derivatives Work,Creative Commons Attribution - NoDerivs - NonCommercial 1.0 Generic (CC-BY-ND-NC 1.0),,,CC-BY-ND-NC 1.0,http://creativecommons.org/licenses/by-nd-nc/1.0/,9
